time,price,day_ahead_price,imbalance_price_up,imbalance_price_down
00:00:00,67.70000,51.76000,59.13000,59.13000
00:15:00,,50.79000,20.00000,20.00000
00:30:00,,49.90000,4.00000,4.00000
00:45:00,,49.00000,-2.07000,-2.07000
01:00:00,74.20000,50.08000,-3.05000,-3.05000
01:15:00,,49.41000,-3.05000,-3.05000
01:30:00,,49.00000,-1.00000,-1.00000
01:45:00,,48.72000,-1.98000,-1.98000
02:00:00,77.70000,49.74000,-1.00000,-1.00000
02:15:00,,49.38000,4.00000,4.00000
02:30:00,,48.90000,-1.98000,-1.98000
02:45:00,,48.81000,-4.70000,-4.70000
03:00:00,64.40000,49.02000,-5.00000,-5.00000
03:15:00,,48.50000,-5.00000,-5.00000
03:30:00,,48.20000,-6.90000,-6.90000
03:45:00,,47.84000,-6.90000,-6.90000
04:00:00,73.10000,48.32000,-5.00000,-5.00000
04:15:00,,48.71000,-5.00000,-5.00000
04:30:00,,48.65000,-5.00000,-5.00000
04:45:00,,48.64000,-5.00000,-5.00000
05:00:00,76.80000,47.63000,-5.00000,-5.00000
05:15:00,,48.53000,-5.00000,-5.00000
05:30:00,,49.59000,-1.00000,-1.00000
05:45:00,,50.63000,-1.00000,-1.00000
06:00:00,73.40000,49.55000,-2.07000,-2.07000
06:15:00,,52.11000,-1.00000,-1.00000
06:30:00,,59.53000,93.92000,93.92000
06:45:00,,65.16000,103.00000,103.00000
07:00:00,57.00000,58.75000,94.27000,94.27000
07:15:00,,62.23000,109.02000,109.02000
07:30:00,,72.70000,252.27000,252.27000
07:45:00,,90.00000,400.00000,400.00000
08:00:00,70.00000,106.82000,400.00000,400.00000
08:15:00,,117.16000,749.00000,749.00000
08:30:00,,120.75000,620.75000,620.75000
08:45:00,,117.51000,400.00000,400.00000
09:00:00,63.00000,109.99000,400.00000,400.00000
09:15:00,,103.31000,379.00000,379.00000
09:30:00,,111.48000,240.00000,240.00000
09:45:00,,126.10000,400.00000,400.00000
10:00:00,66.10000,119.60000,300.00000,300.00000
10:15:00,,138.18000,379.00000,379.00000
10:30:00,,141.36000,202.81000,202.81000
10:45:00,,142.96000,202.75000,202.75000
11:00:00,65.40000,120.09000,228.14000,228.14000
11:15:00,,139.06000,209.19000,209.19000
11:30:00,,143.06000,312.00000,312.00000
11:45:00,,143.06000,218.11000,218.11000
12:00:00,65.50000,143.89000,240.91000,240.91000
12:15:00,,142.04000,300.00000,300.00000
12:30:00,,141.60000,217.83000,217.83000
12:45:00,,146.88000,250.00000,250.00000
13:00:00,65.40000,140.72000,217.59000,217.59000
13:15:00,,147.13000,233.05000,233.05000
13:30:00,,146.10000,244.35000,244.35000
13:45:00,,150.91000,379.00000,379.00000
14:00:00,67.10000,122.31000,468.30000,468.30000
14:15:00,,141.95000,684.74000,684.74000
14:30:00,,170.15000,437.98000,437.98000
14:45:00,,172.61000,506.75000,506.75000
15:00:00,74.10000,157.91000,447.75000,447.75000
15:15:00,,175.56000,390.43000,390.43000
15:30:00,,178.20000,369.02000,369.02000
15:45:00,,184.74000,276.30000,276.30000
16:00:00,61.20000,151.70000,94.50000,94.50000
16:15:00,,163.35000,180.22000,180.22000
16:30:00,,177.68000,80.00000,80.00000
16:45:00,,190.75000,45.00000,45.00000
17:00:00,61.80000,173.28000,254.69000,254.69000
17:15:00,,177.93000,261.56000,261.56000
17:30:00,,164.89000,506.75000,506.75000
17:45:00,,152.33000,449.68000,449.68000
18:00:00,48.60000,192.68000,334.64000,334.64000
18:15:00,,160.49000,398.65000,398.65000
18:30:00,,150.91000,250.00000,250.00000
18:45:00,,128.53000,240.00000,240.00000
19:00:00,61.40000,141.65000,400.00000,400.00000
19:15:00,,137.93000,400.00000,400.00000
19:30:00,,108.59000,196.47000,196.47000
19:45:00,,88.77000,160.56000,160.56000
20:00:00,76.20000,116.23000,158.12000,158.12000
20:15:00,,94.14000,104.28000,104.28000
20:30:00,,75.00000,75.00000,75.00000
20:45:00,,69.74000,26.77000,26.77000
21:00:00,80.00000,98.65000,120.00000,120.00000
21:15:00,,92.48000,355.23000,355.23000
21:30:00,,86.15000,90.06000,90.06000
21:45:00,,79.94000,124.53000,124.53000
22:00:00,75.80000,98.23000,127.13000,127.13000
22:15:00,,77.64000,200.64000,200.64000
22:30:00,,72.46000,155.72000,155.72000
22:45:00,,61.27000,90.00000,90.00000
23:00:00,85.80000,83.27000,90.00000,90.00000
23:15:00,,65.48000,47.11000,47.11000
23:30:00,,49.56000,-1.00000,-1.00000
23:45:00,,50.56000,-1.00000,-1.00000
